@relation std_tobi_adv_them_n-weka.filters.unsupervised.attribute.TimeSeriesTranslate-R26-I-1

@attribute W numeric
@attribute TotLines numeric
@attribute PoS {NNP,VBZ,0.0,NNS,HYPH,VBD,PRP,PRP$,TO,VB,JJ,IN,RB,CD,DT,NN,MD,VBN,c,CC,RBR,cc,VBG,VBP,PDT,WP,POS,JJR,RP,:,WRB,(,),WDT,RBS,EX,JJS,NNPS,$}
@attribute Id numeric
@attribute DepRel {TITLE,SBJ,ROOT,OBJ,P,NMOD,HYPH,NAME,POSTHON,OPRD,IM,PRD,TMP,DEP,PMOD,LOC,DIR,ADV,VC,APPO,COORD,CONJ,AMOD,EXT,SUFFIX,MNR,PRP,PRT,HMOD,LGS,SUB,LOCbPRD}
@attribute Prop {P2,Foc,P3,P4,BACK,A1,A2}
@attribute Emb {yes,no}
@attribute Them {T1,R1,SP1,SP2,R1-1,R1-2}
@attribute TH2 {T1,R1,SP1}
@attribute TH3 {T1,R1}
@attribute TotSpans numeric
@attribute LocSpan {A,Z,B,C,U,D,E,F,G,H}
@attribute nWSpan numeric
@attribute 'Copy of W-1' numeric
@attribute 'Copy of TotLines-1' numeric
@attribute 'Copy of PoS-1' {NNP,VBZ,0.0,NNS,HYPH,VBD,PRP,PRP$,TO,VB,JJ,IN,RB,CD,DT,NN,MD,VBN,c,CC,RBR,cc,VBG,VBP,PDT,WP,POS,JJR,RP,:,WRB,(,),WDT,RBS,EX,JJS,NNPS,$}
@attribute 'Copy of Id-1' numeric
@attribute 'Copy of DepRel-1' {TITLE,SBJ,ROOT,OBJ,P,NMOD,HYPH,NAME,POSTHON,OPRD,IM,PRD,TMP,DEP,PMOD,LOC,DIR,ADV,VC,APPO,COORD,CONJ,AMOD,EXT,SUFFIX,MNR,PRP,PRT,HMOD,LGS,SUB,LOCbPRD}
@attribute 'Copy of Prop-1' {P2,Foc,P3,P4,BACK,A1,A2}
@attribute 'Copy of Emb-1' {yes,no}
@attribute 'Copy of Them-1' {T1,R1,SP1,SP2,R1-1,R1-2}
@attribute 'Copy of TH2-1' {T1,R1,SP1}
@attribute 'Copy of TH3-1' {T1,R1}
@attribute 'Copy of TotSpans-1' numeric
@attribute 'Copy of LocSpan-1' {A,Z,B,C,U,D,E,F,G,H}
@attribute 'Copy of nWSpan-1' numeric
@attribute TOBI-1 {L+H*,LH-,LL-,L*L-,H*,L*+H,L*H-,L*,H*LH-,H+L*,HL-,H+,H*L-,HH-,L*+HL-,H*+L,'L*+H LH-',Hl-,+H,L-,H*+LH-,!H*,H+L*L-,L*+HLH-,H*H-,H+L*LH-,+L,H++,Lh-,H+L*H-,1.0,L*LH-}
@attribute tobi {L+H*,LH-,LL-,L*L-,H*,L*+H,L*H-,L*,H*LH-,H+L*,HL-,H+,H*L-,HH-,L*+HL-,H*+L,'L*+H LH-',Hl-,+H,L-,H*+LH-,!H*,H+L*L-,L*+HLH-,H*H-,H+L*LH-,+L,H++,Lh-,H+L*H-,1.0,L*LH-}

@data
1,5,NNP,2,TITLE,?,?,T1,?,?,2,A,2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,L+H*
2,5,NNP,3,SBJ,?,?,T1,?,?,2,A,2,1,5,NNP,2,TITLE,?,?,T1,?,?,2,A,2,L+H*,LH-
3,5,VBZ,0,ROOT,?,?,R1,?,?,2,Z,3,2,5,NNP,3,SBJ,?,?,T1,?,?,2,A,2,LH-,L+H*
4,5,NNP,3,OBJ,?,?,R1,?,?,2,Z,3,3,5,VBZ,0,ROOT,?,?,R1,?,?,2,Z,3,L+H*,LL-
5,5,0.0,3,P,?,?,R1,?,?,2,Z,3,4,5,NNP,3,OBJ,?,?,R1,?,?,2,Z,3,LL-,?
1,22,NNS,4,NMOD,?,?,SP1,T1,?,3,A,7,5,5,0.0,3,P,?,?,R1,?,?,2,Z,3,?,L+H*
2,22,HYPH,1,HYPH,?,?,SP1,T1,?,3,A,7,1,22,NNS,4,NMOD,?,?,SP1,T1,?,3,A,7,L+H*,?
3,22,NNP,4,NAME,?,?,SP1,T1,?,3,A,7,2,22,HYPH,1,HYPH,?,?,SP1,T1,?,3,A,7,?,?
4,22,NNP,5,NAME,?,?,SP1,T1,?,3,A,7,3,22,NNP,4,NAME,?,?,SP1,T1,?,3,A,7,?,?
5,22,NNS,7,SBJ,?,?,SP1,T1,?,3,A,7,4,22,NNP,5,NAME,?,?,SP1,T1,?,3,A,7,?,?
6,22,NNP,5,POSTHON,?,?,SP1,T1,?,3,A,7,5,22,NNS,7,SBJ,?,?,SP1,T1,?,3,A,7,?,LH-
7,22,VBD,0,ROOT,?,?,SP1,R1,?,3,A,7,6,22,NNP,5,POSTHON,?,?,SP1,T1,?,3,A,7,LH-,L*L-
8,22,PRP,9,SBJ,?,?,T1,?,?,3,B,1,7,22,VBD,0,ROOT,?,?,SP1,R1,?,3,A,7,L*L-,?
9,22,VBZ,7,OBJ,?,?,R1,?,?,3,Z,14,8,22,PRP,9,SBJ,?,?,T1,?,?,3,B,1,?,H*
10,22,PRP$,12,NMOD,?,?,R1,?,?,3,Z,14,9,22,VBZ,7,OBJ,?,?,R1,?,?,3,Z,14,H*,?
11,22,NNP,12,NMOD,?,?,R1,?,?,3,Z,14,10,22,PRP$,12,NMOD,?,?,R1,?,?,3,Z,14,?,?
12,22,NNS,9,OBJ,?,?,R1,?,?,3,Z,14,11,22,NNP,12,NMOD,?,?,R1,?,?,3,Z,14,?,?
13,22,TO,9,OPRD,?,?,R1,?,?,3,Z,14,12,22,NNS,9,OBJ,?,?,R1,?,?,3,Z,14,?,?
14,22,VB,13,IM,?,?,R1,?,?,3,Z,14,13,22,TO,9,OPRD,?,?,R1,?,?,3,Z,14,?,?
15,22,JJ,14,PRD,?,?,R1,?,?,3,Z,14,14,22,VB,13,IM,?,?,R1,?,?,3,Z,14,?,LL-
16,22,IN,14,TMP,?,?,R1,?,?,3,Z,14,15,22,JJ,14,PRD,?,?,R1,?,?,3,Z,14,LL-,?
17,22,RB,19,NMOD,?,?,R1,?,?,3,Z,14,16,22,IN,14,TMP,?,?,R1,?,?,3,Z,14,?,?
18,22,CD,17,DEP,?,?,R1,?,?,3,Z,14,17,22,RB,19,NMOD,?,?,R1,?,?,3,Z,14,?,H*
19,22,NNS,16,PMOD,?,?,R1,?,?,3,Z,14,18,22,CD,17,DEP,?,?,R1,?,?,3,Z,14,H*,?
20,22,IN,14,TMP,?,?,R1,?,?,3,Z,14,19,22,NNS,16,PMOD,?,?,R1,?,?,3,Z,14,?,?
21,22,CD,20,PMOD,?,?,R1,?,?,3,Z,14,20,22,IN,14,TMP,?,?,R1,?,?,3,Z,14,?,LL-
22,22,0.0,7,P,?,?,R1,?,?,3,Z,14,21,22,CD,20,PMOD,?,?,R1,?,?,3,Z,14,LL-,?
1,12,DT,4,NMOD,?,?,T1,?,?,2,A,4,22,22,0.0,7,P,?,?,R1,?,?,3,Z,14,?,?
2,12,NN,3,NMOD,?,?,T1,?,?,2,A,4,1,12,DT,4,NMOD,?,?,T1,?,?,2,A,4,?,L+H*
3,12,NN,4,NMOD,?,?,T1,?,?,2,A,4,2,12,NN,3,NMOD,?,?,T1,?,?,2,A,4,L+H*,?
4,12,NN,7,SBJ,?,?,T1,?,?,2,A,4,3,12,NN,4,NMOD,?,?,T1,?,?,2,A,4,?,LH-
5,12,JJ,6,NMOD,?,?,R1,?,?,2,Z,8,4,12,NN,7,SBJ,?,?,T1,?,?,2,A,4,LH-,L+H*
6,12,NN,7,TMP,?,?,R1,?,?,2,Z,8,5,12,JJ,6,NMOD,?,?,R1,?,?,2,Z,8,L+H*,?
7,12,VBD,0,ROOT,?,?,R1,?,?,2,Z,8,6,12,NN,7,TMP,?,?,R1,?,?,2,Z,8,?,LL-
8,12,CD,9,NMOD,?,?,R1,?,?,2,Z,8,7,12,VBD,0,ROOT,?,?,R1,?,?,2,Z,8,LL-,H*
9,12,NNS,7,OBJ,?,?,R1,?,?,2,Z,8,8,12,CD,9,NMOD,?,?,R1,?,?,2,Z,8,H*,LL-
10,12,IN,7,LOC,?,?,R1,?,?,2,Z,8,9,12,NNS,7,OBJ,?,?,R1,?,?,2,Z,8,LL-,?
