@relation viterbi_ok1-weka.filters.unsupervised.attribute.TimeSeriesTranslate-R27-I-1

@attribute PoS {NNP,VBZ,NNS,VBD,PRP,PRP$,TO,VB,JJ,IN,RB,CD,DT,NN,MD,VBN,CC,RBR,VBG,VBP,PDT,WP,JJR,RP,WRB,WDT,RBS,EX,JJS,NNPS,$}
@attribute DepRel {TITLE,SBJ,ROOT,OBJ,NMOD,NAME,POSTHON,OPRD,IM,PRD,TMP,DEP,PMOD,LOC,DIR,ADV,VC,APPO,COORD,CONJ,AMOD,EXT,MNR,PRP,PRT,HMOD,LGS,SUB,LOCbPRD}
@attribute IdW numeric
@attribute TotLines numeric
@attribute Prop {0.0,P2,Foc,P3,P4,BACK,A1,A2}
@attribute Emb {0.0,yes,no}
@attribute Them {T1,R1,SP1,SP2,R1-1,R1-2}
@attribute TH2 {0.0,T1,R1,SP1}
@attribute TH3 {0.0,T1,R1}
@attribute TotSpans numeric
@attribute LocSpan {A,Z,B,C,U,D,E,F,G,H}
@attribute Gender {f,m}
@attribute N.Syll. numeric
@attribute Tobi-1 {0.0,S,L*+H,LH-,U,H*,LL-,L*,HL-}
@attribute 'Copy of PoS-1' {NNP,VBZ,NNS,VBD,PRP,PRP$,TO,VB,JJ,IN,RB,CD,DT,NN,MD,VBN,CC,RBR,VBG,VBP,PDT,WP,JJR,RP,WRB,WDT,RBS,EX,JJS,NNPS,$}
@attribute 'Copy of DepRel-1' {TITLE,SBJ,ROOT,OBJ,NMOD,NAME,POSTHON,OPRD,IM,PRD,TMP,DEP,PMOD,LOC,DIR,ADV,VC,APPO,COORD,CONJ,AMOD,EXT,MNR,PRP,PRT,HMOD,LGS,SUB,LOCbPRD}
@attribute 'Copy of IdW-1' numeric
@attribute 'Copy of TotLines-1' numeric
@attribute 'Copy of Prop-1' {0.0,P2,Foc,P3,P4,BACK,A1,A2}
@attribute 'Copy of Emb-1' {0.0,yes,no}
@attribute 'Copy of Them-1' {T1,R1,SP1,SP2,R1-1,R1-2}
@attribute 'Copy of TH2-1' {0.0,T1,R1,SP1}
@attribute 'Copy of TH3-1' {0.0,T1,R1}
@attribute 'Copy of TotSpans-1' numeric
@attribute 'Copy of LocSpan-1' {A,Z,B,C,U,D,E,F,G,H}
@attribute 'Copy of Gender-1' {f,m}
@attribute 'Copy of N.Syll.-1' numeric
@attribute ToBI {S,L*+H,LL-,LH-,U,H*,L*,HL-,HH-}

@data
NNP,TITLE,1,5,0.0,0.0,T1,0.0,0.0,2,A,f,1,0.0,?,?,?,?,?,?,?,?,?,?,?,?,?,S
NNP,SBJ,2,5,0.0,0.0,T1,0.0,0.0,2,A,f,1,S,NNP,TITLE,1,5,0.0,0.0,T1,0.0,0.0,2,A,f,1,L*+H
VBZ,ROOT,3,5,0.0,0.0,R1,0.0,0.0,2,Z,f,1,L*+H,NNP,SBJ,2,5,0.0,0.0,T1,0.0,0.0,2,A,f,1,S
NNP,OBJ,4,5,0.0,0.0,R1,0.0,0.0,2,Z,f,3,S,VBZ,ROOT,3,5,0.0,0.0,R1,0.0,0.0,2,Z,f,1,LL-
NNS,NMOD,1,22,0.0,0.0,SP1,T1,0.0,3,A,f,2,0.0,NNP,OBJ,4,5,0.0,0.0,R1,0.0,0.0,2,Z,f,3,L*+H
NNP,NAME,4,22,0.0,0.0,SP1,T1,0.0,3,A,f,2,L*+H,NNS,NMOD,1,22,0.0,0.0,SP1,T1,0.0,3,A,f,2,S
NNS,SBJ,5,22,0.0,0.0,SP1,T1,0.0,3,A,f,1,S,NNP,NAME,4,22,0.0,0.0,SP1,T1,0.0,3,A,f,2,S
NNP,POSTHON,6,22,0.0,0.0,SP1,T1,0.0,3,A,f,5,S,NNS,SBJ,5,22,0.0,0.0,SP1,T1,0.0,3,A,f,1,LH-
VBD,ROOT,7,22,0.0,0.0,SP1,R1,0.0,3,A,f,1,LH-,NNP,POSTHON,6,22,0.0,0.0,SP1,T1,0.0,3,A,f,5,S
PRP,SBJ,8,22,0.0,0.0,T1,0.0,0.0,3,B,f,1,S,VBD,ROOT,7,22,0.0,0.0,SP1,R1,0.0,3,A,f,1,U
VBZ,OBJ,9,22,0.0,0.0,R1,0.0,0.0,3,Z,f,2,U,PRP,SBJ,8,22,0.0,0.0,T1,0.0,0.0,3,B,f,1,H*
PRP$,NMOD,10,22,0.0,0.0,R1,0.0,0.0,3,Z,f,1,H*,VBZ,OBJ,9,22,0.0,0.0,R1,0.0,0.0,3,Z,f,2,U
NNP,NMOD,11,22,0.0,0.0,R1,0.0,0.0,3,Z,f,2,U,PRP$,NMOD,10,22,0.0,0.0,R1,0.0,0.0,3,Z,f,1,S
NNS,OBJ,12,22,0.0,0.0,R1,0.0,0.0,3,Z,f,1,S,NNP,NMOD,11,22,0.0,0.0,R1,0.0,0.0,3,Z,f,2,S
