@relation spk1f

@attribute IdW numeric
@attribute TotLines numeric
@attribute PoS {NNP,VBZ,NNS,VBD,PRP,PRP$,TO,VB,JJ,IN,RB,CD,DT,NN,MD,VBN,CC,RBR,VBG,VBP,PDT,WP,JJR,RP,WRB,WDT,RBS,EX,JJS,NNPS,$}
@attribute DepId numeric
@attribute DepRel {TITLE,SBJ,ROOT,OBJ,NAME,POSTHON,NMOD,OPRD,IM,PRD,TMP,DEP,PMOD,LOC,DIR,ADV,VC,APPO,COORD,CONJ,AMOD,EXT,MNR,PRP,PRT,LGS,SUB,LOCbPRD}
@attribute Prop {P2,Foc,P3,P4,BACK,A1,A2}
@attribute Emb {yes,no}
@attribute Them {T1,R1,SP1,SP2,R1-1,R1-2}
@attribute TH2 {T1,R1,SP1}
@attribute TH3 {T1,R1}
@attribute TotSpans numeric
@attribute LocSpan {A,Z,B,C,U,D,E,F,G,H}
@attribute IntRange numeric
@attribute 'min [dB]' numeric
@attribute 'RMS [dB]' numeric
@attribute 'max [dB]' numeric
@attribute 'MinPitch (Hz)' numeric
@attribute 'MaxPitch (Hz)' numeric
@attribute PitchRange numeric
@attribute 'Speech ratio' numeric
@attribute Duration[ms] numeric
@attribute ToBI {S,L*+H,LL-,LH-,U,H*,L*,HL-,HH-}

@data
1,4,NNP,2,TITLE,?,?,T1,?,?,2,A,15,65,74,80,226,258,32,0.285,0.285,S
2,4,NNP,3,SBJ,?,?,T1,?,?,2,A,17,64,74,81,230,258,28,0.244,0.244,L*+H
3,4,VBZ,0,ROOT,?,?,R1,?,?,2,Z,28,53,71,81,220,249,29,0.36,0.36,S
4,4,NNP,3,OBJ,?,?,R1,?,?,2,Z,32,47,70,79,157,209,52,0.246,0.737,LL-
1,19,NNP,4,NAME,?,?,SP1,T1,?,3,A,38,44,72,81,219,278,59,0.394,0.788,L*+H
2,19,NNP,5,NAME,?,?,SP1,T1,?,3,A,15,63,74,78,216,243,27,0.155,0.309,S
3,19,NNS,7,SBJ,?,?,SP1,T1,?,3,A,13,65,73,78,211,237,26,0.23,0.23,S
4,19,NNP,5,POSTHON,?,?,SP1,T1,?,3,A,34,46,70,81,179,251,72,0.173,0.866,LH-
5,19,VBD,0,ROOT,?,?,SP1,R1,?,3,A,21,57,68,78,88,226,138,0.376,0.376,S
6,19,PRP,9,SBJ,?,?,T1,?,?,3,B,8,67,71,76,190,201,11,0.117,0.117,U
7,19,VBZ,7,OBJ,?,?,R1,?,?,3,Z,23,56,69,79,201,234,33,0.246,0.493,H*
8,19,PRP$,12,NMOD,?,?,R1,?,?,3,Z,21,55,68,76,209,224,15,0.172,0.172,U
9,19,NNP,12,NMOD,?,?,R1,?,?,3,Z,12,67,74,79,213,220,7,0.15,0.3,S
10,19,NNS,9,OBJ,?,?,R1,?,?,3,Z,15,63,72,78,202,207,5,0.325,0.325,S
11,19,TO,9,OPRD,?,?,R1,?,?,3,Z,14,60,68,75,208,216,7,0.103,0.103,U
12,19,VB,13,IM,?,?,R1,?,?,3,Z,4,72,73,75,192,208,16,0.117,0.234,S
13,19,JJ,14,PRD,?,?,R1,?,?,3,Z,18,60,71,78,184,212,28,0.209,0.419,LL-
14,19,IN,14,TMP,?,?,R1,?,?,3,Z,6,68,72,74,196,201,5,0.115,0.115,U
15,19,RB,19,NMOD,?,?,R1,?,?,3,Z,12,66,74,77,187,196,9,0.127,0.255,S
16,19,CD,17,DEP,?,?,R1,?,?,3,Z,25,56,72,81,183,230,47,0.177,1.059,H*
17,19,NNS,16,PMOD,?,?,R1,?,?,3,Z,17,60,71,78,181,190,10,0.336,0.336,S
18,19,IN,14,TMP,?,?,R1,?,?,3,Z,13,61,69,74,186,278,92,0.205,0.205,U
19,19,CD,20,PMOD,?,?,R1,?,?,3,Z,22,54,70,76,169,210,41,0.209,0.838,LL-
1,12,DT,4,NMOD,?,?,T1,?,?,2,A,30,50,69,80,224,241,16,0.238,0.238,U
2,12,NN,3,NMOD,?,?,T1,?,?,2,A,9,74,79,83,241,273,32,0.103,0.308,L*+H
3,12,NN,4,NMOD,?,?,T1,?,?,2,A,11,71,79,82,207,214,7,0.125,0.25,S
4,12,NN,7,SBJ,?,?,T1,?,?,2,A,16,64,76,80,197,208,11,0.151,0.302,S
5,12,JJ,6,NMOD,?,?,R1,?,?,2,Z,15,66,75,81,196,214,17,0.295,0.295,L*+H
6,12,NN,7,TMP,?,?,R1,?,?,2,Z,16,60,70,76,202,207,5,0.18,0.18,S
7,12,VBD,0,ROOT,?,?,R1,?,?,2,Z,12,67,73,79,192,221,29,0.271,0.271,S
8,12,CD,9,NMOD,?,?,R1,?,?,2,Z,20,61,73,81,187,234,47,0.214,1.711,H*
9,12,NNS,7,OBJ,?,?,R1,?,?,2,Z,17,61,70,77,186,265,78,0.434,0.434,LH-
10,12,IN,7,LOC,?,?,R1,?,?,2,Z,11,62,68,73,182,282,100,0.134,0.134,U
11,12,DT,12,NMOD,?,?,R1,?,?,2,Z,1,74,75,75,184,195,10,0.163,0.163,U
12,12,NNP,10,PMOD,?,?,R1,?,?,2,Z,25,52,69,77,175,184,10,0.323,0.645,LL-
