@relation spk2m

@attribute IdW numeric
@attribute TotLines numeric
@attribute PoS {NNP,VBZ,NNS,VBD,PRP,PRP$,TO,VB,JJ,IN,RB,CD,DT,NN,MD,VBN,CC,RBR,VBG,VBP,PDT,WP,JJR,RP,WRB,WDT,RBS,EX,JJS,NNPS,$}
@attribute DepId numeric
@attribute DepRel {TITLE,SBJ,ROOT,OBJ,NAME,POSTHON,NMOD,OPRD,IM,PRD,TMP,DEP,PMOD,LOC,DIR,ADV,VC,APPO,COORD,CONJ,AMOD,EXT,MNR,PRP,PRT,LGS,SUB,LOCbPRD}
@attribute Prop {P2,Foc,P3,P4,BACK,A1,A2}
@attribute Emb {yes,no}
@attribute Them {T1,R1,SP1,SP2,R1-1,R1-2}
@attribute TH2 {T1,R1,SP1}
@attribute TH3 {T1,R1}
@attribute TotSpans numeric
@attribute LocSpan {A,Z,B,C,U,D,E,F,G,H}
@attribute IntRange numeric
@attribute 'min [dB]' numeric
@attribute 'RMS [dB]' numeric
@attribute 'max [dB]' numeric
@attribute 'MinPitch (Hz)' numeric
@attribute 'MaxPitch (Hz)' numeric
@attribute PitchRange numeric
@attribute 'Speech ratio' numeric
@attribute Duration[ms] numeric
@attribute ToBI {S,L*+H,HL-,LH-,U,H*,LL-,L*,HH-}

@data
1,4,NNP,2,TITLE,?,?,T1,?,?,2,A,17,62,71,79,107,134,27,0.284,0.284,S
2,4,NNP,3,SBJ,?,?,T1,?,?,2,A,30,48,69,79,127,144,17,0.343,0.343,L*+H
3,4,VBZ,0,ROOT,?,?,R1,?,?,2,Z,18,59,71,77,97,104,7,0.338,0.338,S
4,4,NNP,3,OBJ,?,?,R1,?,?,2,Z,34,44,69,79,77,125,49,0.262,0.787,HL-
1,19,NNP,4,NAME,?,?,SP1,T1,?,3,A,46,36,71,82,109,158,49,0.316,0.631,L*+H
2,19,NNP,5,NAME,?,?,SP1,T1,?,3,A,30,50,74,80,83,120,37,0.191,0.382,S
3,19,NNS,7,SBJ,?,?,SP1,T1,?,3,A,23,56,71,79,87,98,11,0.382,0.382,S
4,19,NNP,5,POSTHON,?,?,SP1,T1,?,3,A,43,36,55,79,111,123,12,0.629,0.629,LH-
5,19,VBD,0,ROOT,?,?,SP1,R1,?,3,A,39,40,66,79,98,117,19,0.332,0.332,S
6,19,PRP,9,SBJ,?,?,T1,?,?,3,B,13,59,66,71,0,0,0,0.099,0.099,U
7,19,VBZ,7,OBJ,?,?,R1,?,?,3,Z,37,44,65,81,114,122,8,0.194,0.389,H*
8,19,PRP$,12,NMOD,?,?,R1,?,?,3,Z,15,60,68,74,0,0,0,0.12,0.12,U
9,19,NNP,12,NMOD,?,?,R1,?,?,3,Z,14,65,73,80,110,123,13,0.212,0.424,S
10,19,NNS,9,OBJ,?,?,R1,?,?,3,Z,25,55,70,79,83,110,27,0.53,0.53,S
11,19,TO,9,OPRD,?,?,R1,?,?,3,Z,25,48,59,73,99,99,0,0.106,0.106,U
12,19,VB,13,IM,?,?,R1,?,?,3,Z,9,67,75,77,86,99,13,0.145,0.29,S
13,19,JJ,14,PRD,?,?,R1,?,?,3,Z,42,39,64,81,107,123,15,0.315,0.629,LH-
14,19,IN,14,TMP,?,?,R1,?,?,3,Z,31,44,68,75,93,96,3,0.156,0.156,S
15,19,RB,19,NMOD,?,?,R1,?,?,3,Z,12,67,75,79,80,93,12,0.11,0.219,S
16,19,CD,17,DEP,?,?,R1,?,?,3,Z,25,54,73,79,80,120,40,0.179,1.074,H*
17,19,NNS,16,PMOD,?,?,R1,?,?,3,Z,43,36,61,79,91,96,5,0.657,0.657,S
18,19,IN,14,TMP,?,?,R1,?,?,3,Z,27,47,68,74,90,93,3,0.141,0.141,U
19,19,CD,20,PMOD,?,?,R1,?,?,3,Z,35,42,68,77,38,98,60,0.223,0.893,LL-
1,12,DT,4,NMOD,?,?,T1,?,?,2,A,37,41,61,77,101,107,6,0.123,0.123,U
2,12,NN,3,NMOD,?,?,T1,?,?,2,A,18,66,76,84,100,147,48,0.139,0.416,L*+H
3,12,NN,4,NMOD,?,?,T1,?,?,2,A,9,75,80,84,103,113,10,0.095,0.189,S
4,12,NN,7,SBJ,?,?,T1,?,?,2,A,20,60,74,80,88,103,15,0.206,0.411,S
5,12,JJ,6,NMOD,?,?,R1,?,?,2,Z,32,51,72,83,99,117,18,0.336,0.336,L*+H
6,12,NN,7,TMP,?,?,R1,?,?,2,Z,33,41,58,75,81,100,19,0.69,0.69,S
7,12,VBD,0,ROOT,?,?,R1,?,?,2,Z,31,48,69,79,94,108,14,0.321,0.321,S
8,12,CD,9,NMOD,?,?,R1,?,?,2,Z,35,47,72,82,83,118,34,0.195,1.56,H*
9,12,NNS,7,OBJ,?,?,R1,?,?,2,Z,35,41,61,75,42,90,48,0.652,0.652,LL-
10,12,IN,7,LOC,?,?,R1,?,?,2,Z,29,47,67,75,92,102,10,0.128,0.128,U
11,12,DT,12,NMOD,?,?,R1,?,?,2,Z,1,73,74,75,86,92,6,0.104,0.104,U
12,12,NNP,10,PMOD,?,?,R1,?,?,2,Z,19,56,66,75,71,86,15,0.217,0.434,LL-
1,14,NNP,2,NAME,?,?,T1,?,?,2,A,14,72,81,86,125,141,16,0.195,0.195,H*
2,14,NNS,4,SBJ,?,?,T1,?,?,2,A,25,56,72,81,88,120,32,0.179,0.536,S
3,14,NNP,2,POSTHON,?,?,T1,?,?,2,A,41,39,57,80,120,137,17,0.112,0.673,LH-
4,14,VBD,0,ROOT,?,?,R1,?,?,2,Z,30,50,71,81,101,143,42,0.283,0.567,H*
5,14,PRP$,6,NMOD,?,?,R1,?,?,2,Z,26,52,65,79,98,101,3,0.226,0.226,U
6,14,NN,4,OBJ,?,?,R1,?,?,2,Z,27,53,73,80,117,135,18,0.161,0.483,LH-
7,14,TO,4,DIR,?,?,R1,?,?,2,Z,22,50,63,72,90,91,2,0.137,0.137,U
8,14,CD,9,NMOD,?,?,R1,?,?,2,Z,32,48,71,79,124,133,9,0.226,0.226,H*
9,14,NNS,7,PMOD,?,?,R1,?,?,2,Z,31,48,66,79,110,133,23,0.616,0.616,S
10,14,IN,4,DIR,?,?,R1,?,?,2,Z,21,53,70,75,90,109,19,0.159,0.159,U
11,14,CD,12,NMOD,?,?,R1,?,?,2,Z,14,66,73,81,104,114,10,0.155,0.31,L*
12,14,NNS,10,PMOD,?,?,R1,?,?,2,Z,12,64,70,76,90,105,15,0.257,0.257,S
13,14,DT,14,NMOD,?,?,R1,?,?,2,Z,3,68,69,70,86,94,8,0.062,0.062,U
14,14,NN,12,ADV,?,?,R1,?,?,2,Z,27,47,65,74,43,97,55,0.49,0.49,LL-
1,8,DT,3,NMOD,?,?,T1,?,?,2,A,23,55,66,78,108,121,13,0.113,0.113,U
2,8,JJ,3,NMOD,?,?,T1,?,?,2,A,5,77,79,82,102,147,44,0.248,0.248,L*+H
3,8,NN,4,SBJ,?,?,T1,?,?,2,A,47,37,60,84,100,141,41,0.533,0.533,S
4,8,MD,0,ROOT,?,?,R1,?,?,2,Z,8,68,72,76,87,101,14,0.147,0.147,U
5,8,VB,4,VC,?,?,R1,?,?,2,Z,18,59,72,77,99,106,7,0.13,0.13,S
6,8,JJ,5,PRD,?,?,R1,?,?,2,Z,29,52,73,81,111,127,16,0.166,0.499,LH-
7,8,NNP,8,NMOD,?,?,R1,?,?,2,Z,31,49,73,80,98,124,26,0.163,0.489,H*
8,8,CD,6,TMP,?,?,R1,?,?,2,Z,27,46,63,73,84,108,24,0.278,0.555,LL-
1,6,DT,3,NMOD,?,?,T1,?,?,2,A,23,56,71,79,110,112,2,0.084,0.084,U
2,6,NN,3,NMOD,?,?,T1,?,?,2,A,27,59,76,86,91,171,80,0.201,0.402,L*+H
3,6,NN,4,SBJ,?,?,T1,?,?,2,A,45,36,59,81,100,103,3,0.458,0.458,LL-
4,6,VBZ,0,ROOT,?,?,R1,?,?,2,Z,32,45,71,78,49,117,69,0.402,0.402,L*
5,6,VBN,4,VC,?,?,R1,?,?,2,Z,8,69,74,77,87,108,21,0.166,0.166,U
6,6,VBN,6,VC,?,?,R1,?,?,2,Z,31,43,65,75,85,87,2,0.362,0.362,LL-
1,13,NNP,8,SBJ,?,?,T1,?,?,2,A,45,40,60,85,89,125,37,0.89,0.89,L*+H
2,13,VBN,1,APPO,?,?,T1,?,?,2,A,25,58,72,83,110,117,8,0.345,0.345,S
3,13,IN,3,LOC,?,?,T1,?,?,2,A,1,77,77,78,103,112,10,0.084,0.084,U
4,13,NNP,6,NAME,?,?,T1,?,?,2,A,15,67,76,82,95,111,16,0.217,0.217,S
5,13,NNP,4,PMOD,?,?,T1,?,?,2,A,42,37,59,79,109,137,28,0.328,0.985,LH-
6,13,VBZ,0,ROOT,?,?,R1,?,?,2,Z,29,51,68,79,107,137,29,0.44,0.44,L*+H
7,13,CC,8,COORD,?,?,R1,?,?,2,Z,11,67,75,77,95,103,8,0.145,0.145,U
8,13,VBZ,9,CONJ,?,?,R1,?,?,2,Z,21,58,71,80,90,124,34,0.163,0.49,S
9,13,JJ,10,PRD,?,?,R1,?,?,2,Z,41,38,62,79,88,119,31,0.228,0.913,L*+H
10,13,NN,11,COORD,?,?,R1,?,?,2,Z,41,37,62,78,86,109,24,0.243,0.729,S
11,13,CC,13,COORD,?,?,R1,?,?,2,Z,21,57,72,78,101,104,4,0.145,0.145,U
12,13,NN,14,CONJ,?,?,R1,?,?,2,Z,12,71,76,83,83,111,29,0.153,0.306,S
13,13,NNS,8,OBJ,?,?,R1,?,?,2,Z,32,42,61,74,78,83,5,0.299,0.598,LL-
1,16,DT,3,NMOD,?,?,T1,?,?,2,A,23,56,69,79,107,111,4,0.167,0.167,U
2,16,VBN,3,NMOD,?,?,T1,?,?,2,A,25,59,73,84,133,150,17,0.193,0.385,L*+H
3,16,NNS,5,SBJ,?,?,T1,?,?,2,A,43,39,68,82,113,142,29,0.38,0.761,S
4,16,RB,5,ADV,?,?,R1,?,?,2,Z,16,66,75,82,114,150,36,0.164,0.328,H*
5,16,MD,0,ROOT,?,?,R1,?,?,2,Z,6,76,79,82,108,114,6,0.078,0.078,U
6,16,VB,5,VC,?,?,R1,?,?,2,Z,6,79,82,85,101,108,7,0.13,0.26,S
7,16,NNS,6,OBJ,?,?,R1,?,?,2,Z,40,42,67,82,92,133,40,0.207,0.828,LH-
8,16,TO,6,OPRD,?,?,R1,?,?,2,Z,21,57,69,77,108,110,2,0.073,0.073,U
9,16,VB,8,IM,?,?,R1,?,?,2,Z,23,58,75,81,101,113,12,0.143,0.287,S
10,16,NNS,9,OBJ,?,?,R1,?,?,2,Z,23,60,73,83,95,130,35,0.167,0.667,L*+H
11,16,IN,10,NMOD,?,?,R1,?,?,2,Z,8,72,77,81,92,100,8,0.078,0.078,U
12,16,NNS,11,PMOD,?,?,R1,?,?,2,Z,41,43,70,84,100,134,34,0.268,0.537,S
13,16,RB,9,TMP,?,?,R1,?,?,2,Z,36,47,71,83,107,136,28,0.268,0.537,L*+H
14,16,CC,13,COORD,?,?,R1,?,?,2,Z,23,51,67,74,93,98,5,0.115,0.115,U
15,16,RBR,16,AMOD,?,?,R1,?,?,2,Z,16,64,73,80,94,101,8,0.229,0.229,S
16,16,RB,14,CONJ,?,?,R1,?,?,2,Z,35,43,62,79,35,50,15,0.266,0.533,LL-
1,10,RB,4,NMOD,?,?,SP1,?,?,3,A,46,41,67,87,90,148,58,0.23,0.92,L*+H
2,10,DT,4,NMOD,?,?,T1,?,?,3,B,12,59,66,70,109,112,4,0.096,0.096,U
3,10,NN,5,SBJ,?,?,T1,?,?,3,B,22,60,75,82,100,126,26,0.137,0.412,L*+H
4,10,VBD,0,ROOT,?,?,R1,?,?,3,Z,7,73,76,79,88,100,12,0.093,0.093,S
5,10,RB,5,ADV,?,?,R1,?,?,3,Z,17,66,78,83,89,121,32,0.244,0.244,H*
6,10,RB,5,ADV,?,?,R1,?,?,3,Z,18,65,76,83,92,113,21,0.163,0.325,S
7,10,VB,5,VC,?,?,R1,?,?,3,Z,19,62,76,81,92,105,13,0.163,0.325,S
8,10,IN,8,ADV,?,?,R1,?,?,3,Z,11,65,70,77,94,101,7,0.113,0.113,U
9,10,DT,11,NMOD,?,?,R1,?,?,3,Z,9,68,73,77,96,99,4,0.206,0.206,S
10,10,NN,9,PMOD,?,?,R1,?,?,3,Z,34,45,67,79,80,86,6,0.254,0.508,LL-
1,14,CC,14,DEP,?,?,SP1,?,?,4,A,29,50,70,79,100,101,1,0.203,0.203,U
2,14,IN,3,DEP,?,?,T1,?,?,4,B,37,47,74,84,94,102,7,0.127,0.253,S
3,14,CD,4,NMOD,?,?,T1,?,?,4,B,34,52,72,85,99,132,33,0.193,0.963,H*
4,14,IN,4,NMOD,?,?,T1,?,?,4,B,10,66,72,76,86,104,18,0.099,0.099,U
5,14,DT,7,NMOD,?,?,T1,?,?,4,B,8,71,74,79,100,107,8,0.109,0.109,U
6,14,NNS,5,PMOD,?,?,T1,?,?,4,B,31,52,69,83,107,132,25,0.309,0.928,LH-
7,14,VBG,4,NMOD,?,?,SP2,?,?,4,C,23,58,72,81,88,114,26,0.144,0.432,H*
8,14,TO,9,PMOD,?,?,SP2,?,?,4,C,15,68,75,82,33,110,78,0.124,0.124,U
9,14,NNP,12,NMOD,?,?,SP2,?,?,4,C,17,65,72,82,100,121,21,0.131,0.392,S
