@relation spk4m

@attribute IdW numeric
@attribute TotLines numeric
@attribute PoS {NNP,VBZ,NNS,VBD,PRP,PRP$,TO,VB,JJ,IN,RB,CD,DT,NN,MD,VBN,CC,RBR,VBG,VBP,PDT,WP,JJR,RP,WRB,WDT,RBS,EX,JJS,NNPS,$}
@attribute DepId numeric
@attribute DepRel {TITLE,SBJ,ROOT,OBJ,NAME,POSTHON,NMOD,OPRD,IM,PRD,TMP,DEP,PMOD,LOC,DIR,ADV,VC,APPO,COORD,CONJ,AMOD,EXT,MNR,PRP,PRT,LGS,SUB,LOCbPRD}
@attribute Prop {P2,Foc,P3,P4,BACK,A1,A2}
@attribute Emb {yes,no}
@attribute Them {T1,R1,SP1,SP2,R1-1,R1-2}
@attribute TH2 {T1,R1,SP1}
@attribute TH3 {T1,R1}
@attribute TotSpans numeric
@attribute LocSpan {A,Z,B,C,U,D,E,F,G,H}
@attribute IntRange numeric
@attribute 'min [dB]' numeric
@attribute 'RMS [dB]' numeric
@attribute 'max [dB]' numeric
@attribute 'MinPitch (Hz)' numeric
@attribute 'MaxPitch (Hz)' numeric
@attribute PitchRange numeric
@attribute 'Speech ratio' numeric
@attribute Duration[ms] numeric
@attribute ToBI {S,L*+H,LL-,HL-,U,H*,L*,LH-,HH-}

@data
1,4,NNP,2,TITLE,?,?,T1,?,?,2,A,20,58,69,78,118,145,27,0.33,0.33,S
2,4,NNP,3,SBJ,?,?,T1,?,?,2,A,31,47,69,78,129,151,21,0.362,0.362,L*+H
3,4,VBZ,0,ROOT,?,?,R1,?,?,2,Z,30,44,65,74,116,131,15,0.288,0.288,S
4,4,NNP,3,OBJ,?,?,R1,?,?,2,Z,24,50,67,75,93,111,18,0.273,0.82,LL-
1,19,NNP,4,NAME,?,?,SP1,T1,?,3,A,23,55,69,78,125,148,24,0.355,0.711,L*+H
2,19,NNP,5,NAME,?,?,SP1,T1,?,3,A,22,52,69,74,122,134,12,0.157,0.313,S
3,19,NNS,7,SBJ,?,?,SP1,T1,?,3,A,22,53,69,75,117,124,8,0.3,0.3,S
4,19,NNP,5,POSTHON,?,?,SP1,T1,?,3,A,25,46,61,71,95,272,177,0.483,0.483,HL-
5,19,VBD,0,ROOT,?,?,SP1,R1,?,3,A,18,52,64,70,112,126,14,0.215,0.215,S
6,19,PRP,9,SBJ,?,?,T1,?,?,3,B,5,61,64,66,104,115,11,0.104,0.104,U
7,19,VBZ,7,OBJ,?,?,R1,?,?,3,Z,29,46,65,76,103,132,28,0.258,0.515,H*
