@relation spk5f

@attribute IdW numeric
@attribute TotLines numeric
@attribute PoS {NNP,VBZ,NNS,VBD,PRP,PRP$,TO,VB,JJ,IN,RB,CD,DT,NN,MD,VBN,CC,RBR,VBG,VBP,PDT,WP,JJR,RP,WRB,WDT,RBS,EX,JJS,NNPS,$}
@attribute DepId numeric
@attribute DepRel {TITLE,SBJ,ROOT,OBJ,NAME,POSTHON,NMOD,OPRD,IM,PRD,TMP,DEP,PMOD,LOC,DIR,ADV,VC,APPO,COORD,CONJ,AMOD,EXT,MNR,PRP,PRT,LGS,SUB,LOCbPRD}
@attribute Prop {P2,Foc,P3,P4,BACK,A1,A2}
@attribute Emb {yes,no}
@attribute Them {T1,R1,SP1,SP2,R1-1,R1-2}
@attribute TH2 {T1,R1,SP1}
@attribute TH3 {T1,R1}
@attribute TotSpans numeric
@attribute LocSpan {A,Z,B,C,U,D,E,F,G,H}
@attribute IntRange numeric
@attribute 'min [dB]' numeric
@attribute 'RMS [dB]' numeric
@attribute 'max [dB]' numeric
@attribute 'MinPitch (Hz)' numeric
@attribute 'MaxPitch (Hz)' numeric
@attribute PitchRange numeric
@attribute 'Speech ratio' numeric
@attribute Duration[ms] numeric
@attribute ToBI {S,L*+H,LL-,LH-,U,H*,HL-,L*,HH-}

@data
1,4,NNP,2,TITLE,?,?,T1,?,?,2,A,42,31,62,73,138,313,175,0.253,0.253,S
2,4,NNP,3,SBJ,?,?,T1,?,?,2,A,37,43,68,80,242,292,51,0.313,0.313,L*+H
3,4,VBZ,0,ROOT,?,?,R1,?,?,2,Z,42,31,60,73,220,250,31,0.423,0.423,S
4,4,NNP,3,OBJ,?,?,R1,?,?,2,Z,38,35,64,73,170,247,77,0.238,0.713,LL-
1,19,NNP,4,NAME,?,?,SP1,T1,?,3,A,51,28,67,79,136,310,174,0.336,0.671,L*+H
2,19,NNP,5,NAME,?,?,SP1,T1,?,3,A,21,52,68,74,196,239,42,0.147,0.294,S
3,19,NNS,7,SBJ,?,?,SP1,T1,?,3,A,25,51,66,76,173,195,22,0.279,0.279,S
4,19,NNP,5,POSTHON,?,?,SP1,T1,?,3,A,41,34,60,75,164,262,98,0.175,0.875,LH-
5,19,VBD,0,ROOT,?,?,SP1,R1,?,3,A,33,42,62,75,207,215,8,0.226,0.226,S
6,19,PRP,9,SBJ,?,?,T1,?,?,3,B,13,59,66,72,194,211,17,0.121,0.121,U
7,19,VBZ,7,OBJ,?,?,R1,?,?,3,Z,32,45,60,77,211,275,64,0.26,0.52,H*
8,19,PRP$,12,NMOD,?,?,R1,?,?,3,Z,21,49,61,69,203,217,14,0.189,0.189,U
9,19,NNP,12,NMOD,?,?,R1,?,?,3,Z,14,60,68,74,236,270,34,0.128,0.257,L*+H
10,19,NNS,9,OBJ,?,?,R1,?,?,3,Z,16,59,68,75,171,187,15,0.4,0.4,S
11,19,TO,9,OPRD,?,?,R1,?,?,3,Z,14,56,64,70,202,223,21,0.143,0.143,U
12,19,VB,13,IM,?,?,R1,?,?,3,Z,10,60,68,70,194,205,11,0.158,0.317,S
13,19,JJ,14,PRD,?,?,R1,?,?,3,Z,24,52,66,76,86,206,121,0.207,0.415,HL-
14,19,IN,14,TMP,?,?,R1,?,?,3,Z,12,59,66,71,199,207,8,0.143,0.143,S
15,19,RB,19,NMOD,?,?,R1,?,?,3,Z,14,62,70,76,187,199,12,0.106,0.211,S
16,19,CD,17,DEP,?,?,R1,?,?,3,Z,26,50,67,77,199,255,57,0.181,1.086,H*
17,19,NNS,16,PMOD,?,?,R1,?,?,3,Z,44,34,56,78,159,204,45,0.724,0.724,S
18,19,IN,14,TMP,?,?,R1,?,?,3,Z,40,30,60,70,188,218,30,0.196,0.196,U
19,19,CD,20,PMOD,?,?,R1,?,?,3,Z,28,47,63,75,77,216,139,0.207,0.827,LL-
1,12,DT,4,NMOD,?,?,T1,?,?,2,A,37,34,60,71,228,238,10,0.13,0.13,U
2,12,NN,3,NMOD,?,?,T1,?,?,2,A,22,59,71,81,232,287,55,0.136,0.407,L*+H
3,12,NN,4,NMOD,?,?,T1,?,?,2,A,18,62,73,80,199,283,84,0.146,0.291,S
4,12,NN,7,SBJ,?,?,T1,?,?,2,A,21,53,68,74,171,199,28,0.185,0.37,S
5,12,JJ,6,NMOD,?,?,R1,?,?,2,Z,32,49,68,81,199,237,38,0.301,0.301,L*+H
6,12,NN,7,TMP,?,?,R1,?,?,2,Z,17,55,67,72,89,91,2,0.217,0.217,S
7,12,VBD,0,ROOT,?,?,R1,?,?,2,Z,17,55,65,72,80,212,132,0.273,0.273,S
8,12,CD,9,NMOD,?,?,R1,?,?,2,Z,35,44,66,79,93,298,205,0.195,1.753,H*
9,12,NNS,7,OBJ,?,?,R1,?,?,2,Z,27,51,67,78,169,186,18,0.467,0.467,LH-
10,12,IN,7,LOC,?,?,R1,?,?,2,Z,14,54,66,69,199,219,20,0.12,0.12,U
11,12,DT,12,NMOD,?,?,R1,?,?,2,Z,1,68,69,69,189,199,10,0.071,0.071,U
12,12,NNP,10,PMOD,?,?,R1,?,?,2,Z,24,48,65,72,174,189,16,0.193,0.387,LL-
1,14,NNP,2,NAME,?,?,T1,?,?,2,A,55,26,66,82,155,278,123,0.266,0.266,L*+H
2,14,NNS,4,SBJ,?,?,T1,?,?,2,A,16,59,68,74,224,277,53,0.178,0.534,S
3,14,NNP,2,POSTHON,?,?,T1,?,?,2,A,39,37,63,77,162,253,91,0.139,0.833,LH-
4,14,VBD,0,ROOT,?,?,R1,?,?,2,Z,42,33,64,76,222,249,27,0.257,0.514,H*
5,14,PRP$,6,NMOD,?,?,R1,?,?,2,Z,24,46,58,70,221,222,1,0.186,0.186,U
6,14,NN,4,OBJ,?,?,R1,?,?,2,Z,44,31,56,75,159,259,100,0.331,0.994,LH-
7,14,TO,4,DIR,?,?,R1,?,?,2,Z,37,28,53,66,234,244,10,0.181,0.181,U
8,14,CD,9,NMOD,?,?,R1,?,?,2,Z,26,52,68,77,133,313,179,0.311,0.311,H*
9,14,NNS,7,PMOD,?,?,R1,?,?,2,Z,32,41,61,73,171,179,8,0.475,0.475,S
10,14,IN,4,DIR,?,?,R1,?,?,2,Z,28,44,58,72,204,211,6,0.288,0.288,U
11,14,CD,12,NMOD,?,?,R1,?,?,2,Z,11,64,69,76,207,215,8,0.153,0.305,L*
12,14,NNS,10,PMOD,?,?,R1,?,?,2,Z,15,54,62,70,180,208,28,0.282,0.282,S
13,14,DT,14,NMOD,?,?,R1,?,?,2,Z,4,63,65,67,179,188,9,0.057,0.057,U
14,14,NN,12,ADV,?,?,R1,?,?,2,Z,29,44,64,73,0,0,0,0.36,0.36,LL-
1,8,DT,3,NMOD,?,?,T1,?,?,2,A,46,32,59,77,255,266,10,0.134,0.134,U
2,8,JJ,3,NMOD,?,?,T1,?,?,2,A,7,69,73,75,135,316,181,0.219,0.219,L*+H
3,8,NN,4,SBJ,?,?,T1,?,?,2,A,22,55,71,77,197,267,70,0.228,0.228,S
4,8,MD,0,ROOT,?,?,R1,?,?,2,Z,13,59,66,72,201,220,19,0.141,0.141,U
5,8,VB,4,VC,?,?,R1,?,?,2,Z,21,51,64,72,196,205,8,0.15,0.15,S
6,8,JJ,5,PRD,?,?,R1,?,?,2,Z,22,53,67,75,206,221,15,0.143,0.428,LL-
7,8,NNP,8,NMOD,?,?,R1,?,?,2,Z,32,45,68,77,218,256,37,0.169,0.508,H*
8,8,CD,6,TMP,?,?,R1,?,?,2,Z,36,36,57,72,80,245,165,0.257,0.513,LL-
1,6,DT,3,NMOD,?,?,T1,?,?,2,A,45,31,54,76,231,236,5,0.098,0.098,U
2,6,NN,3,NMOD,?,?,T1,?,?,2,A,28,53,69,81,215,296,81,0.214,0.427,L*+H
3,6,NN,4,SBJ,?,?,T1,?,?,2,A,28,50,70,78,210,245,35,0.238,0.238,HL-
4,6,VBZ,0,ROOT,?,?,R1,?,?,2,Z,29,48,65,76,222,257,35,0.372,0.372,L*+H
5,6,VBN,4,VC,?,?,R1,?,?,2,Z,13,58,65,71,201,225,24,0.219,0.219,U
6,6,VBN,6,VC,?,?,R1,?,?,2,Z,37,38,62,75,162,209,46,0.336,0.336,LL-
1,13,NNP,8,SBJ,?,?,T1,?,?,2,A,54,26,66,80,180,254,74,0.444,0.444,L*+H
2,13,VBN,1,APPO,?,?,T1,?,?,2,A,37,38,63,74,213,281,68,0.317,0.317,S
3,13,IN,3,LOC,?,?,T1,?,?,2,A,5,68,70,73,259,278,19,0.117,0.117,U
